n,rho,eta,mu,seed,ste_tc_f1,ste_uc_f1,ste_tc_topk_f1,ste_uc_topk_f1,ste_tc_pred_size,ste_uc_pred_size,logloss_train,logloss_val,logloss_test,acc_test,btl_tc_f1,elo_tc_f1,rank_centrality_tc_f1,win_rate_tc_f1
15,0.3,0.0,0.3,44,0.7999999999994559,0.2666666666663111,0.9999999999994333,0.0,10.0,12.0,0.5917306466582348,0.721909163787634,0.8082207487248478,0.4520547945205479,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.0,0.3,45,0.9285714285708647,0.49999999999954164,0.9999999999994333,0.33333333333272225,13.0,9.0,0.5963279049742056,0.7763769027832575,0.6826524944998194,0.6301369863013698,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.0,0.3,46,0.846153846153284,0.4444444444439506,0.9285714285708622,0.16666666666613889,12.0,12.0,0.6222572337811593,0.8289901909660714,0.7503733328639681,0.5616438356164384,0.9285714285708622,0.9285714285708622,0.9285714285708622,0.9285714285708622
15,0.3,0.0,0.3,47,0.19999999999978,0.22222222222197527,0.0,0.9999999999984999,9.0,8.0,0.5799073707663854,0.6749822991118779,0.7308237798287264,0.5068493150684932,0.9999999999984999,0.0,0.9999999999984999,0.9999999999984999
15,0.3,0.0,0.3,48,0.6956521739125292,0.4999999999995078,0.9999999999994333,0.5999999999993799,8.0,11.0,0.6119378064416596,0.8202320617151041,0.7407239775145615,0.547945205479452,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.0,0.3,49,0.22222222222197527,0.19999999999978,0.0,0.0,8.0,9.0,0.6211477845221336,0.7008819753477152,0.7294422618312866,0.547945205479452,0.9999999999984999,0.9999999999984999,0.9999999999984999,0.9999999999984999
15,0.3,0.0,0.3,50,0.2857142857139591,0.19999999999978,0.0,0.9999999999984999,6.0,9.0,0.608459932374484,0.6263217290925756,0.7102424195012331,0.547945205479452,0.9999999999984999,0.0,0.9999999999984999,0.9999999999984999
15,0.3,0.0,0.3,51,0.12499999999986719,0.36363636363590085,0.9999999999994333,0.6666666666659444,1.0,8.0,0.556919352850604,0.7953437572143491,0.7569358536418593,0.5753424657534246,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.05,0.0,42,0.9285714285708622,0.2857142857138367,0.9285714285708622,0.2499999999994375,14.0,10.0,0.6109998985329588,0.7306720651876857,0.724057891829553,0.5714285714285714,0.9285714285708622,0.9285714285708622,0.9285714285708622,0.9285714285708622
15,0.3,0.05,0.0,43,0.12499999999986719,0.14285714285698978,0.0,0.0,15.0,13.0,0.6321177187005729,0.7415326475100329,0.727300333475324,0.5523809523809524,0.9999999999984999,0.9999999999984999,0.9999999999984999,0.9999999999984999
15,0.3,0.05,0.0,44,0.9999999999994333,0.33333333333301846,0.9999999999994333,0.0,15.0,15.0,0.6249051512991278,0.7852674972681593,0.8060436144991964,0.4380952380952381,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.05,0.0,45,0.9999999999994333,0.352941176470256,0.9999999999994333,0.33333333333272225,15.0,14.0,0.6133823803407082,0.7205916479847245,0.7362922102807159,0.5619047619047619,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.05,0.0,46,0.9629629629623923,0.588235294117121,0.9999999999994287,0.6666666666660555,13.0,11.0,0.6052444851855476,0.7826972714866304,0.7576746941713122,0.5428571428571428,0.9999999999994287,0.9999999999994287,0.9999999999994287,0.9999999999994287
15,0.3,0.05,0.0,47,0.14285714285698978,0.0,0.0,0.0,13.0,9.0,0.613003997500934,0.706927865545964,0.7267574758262901,0.4857142857142857,0.0,0.0,0.0,0.0
15,0.3,0.05,0.0,48,0.9999999999994333,0.526315789473241,0.9999999999994333,0.39999999999942,15.0,14.0,0.6273496044955896,0.7739299360421708,0.7568132368124406,0.4666666666666667,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.05,0.0,49,0.9999999999984999,0.3333333333329444,0.9999999999984999,0.9999999999984999,1.0,5.0,0.6192345710794505,0.6788070387401127,0.7169853197575702,0.6,0.9999999999984999,0.0,0.9999999999984999,0.0
15,0.3,0.05,0.0,50,0.12499999999986719,0.15384615384598815,0.9999999999984999,0.9999999999984999,15.0,12.0,0.6143682589058287,0.7207627256419373,0.6895548642602933,0.5333333333333333,0.9999999999984999,0.9999999999984999,0.9999999999984999,0.9999999999984999
