n,rho,eta,mu,seed,m_per_pair,ste_tc_f1,ste_tc_jaccard,ste_uc_f1,ste_uc_jaccard,ste_tc_topk_f1,ste_uc_topk_f1,ste_top1_tc,ste_tc_pred_size,ste_uc_pred_size,true_tc_size,true_uc_size,logloss_train,logloss_val,logloss_test,acc_test,win_rate_tc_f1,win_rate_uc_f1,win_rate_top1_tc,copeland_tc_f1,copeland_uc_f1,copeland_top1_tc,elo_tc_f1,elo_uc_f1,elo_top1_tc,rank_centrality_tc_f1,rank_centrality_uc_f1,rank_centrality_top1_tc,btl_tc_f1,btl_uc_f1,btl_top1_tc,hodgerank_tc_f1,hodgerank_uc_f1,hodgerank_top1_tc
20,0.4,0.05,0.1,42,10,0.09523809523799547,0.05,0.12499999999986719,0.06666666666666667,0.0,0.0,0.0,20.0,15.0,1.0,1.0,0.6257578664310682,0.7438116423712025,0.7417434026816557,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.4,0.05,0.1,43,10,0.10526315789462604,0.05555555555555555,0.11111111111099384,0.058823529411764705,0.0,0.9999999999984999,0.0,18.0,17.0,1.0,1.0,0.6278406391935516,0.7256168754322763,0.752776528258885,0.5146198830409356,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0
20,0.4,0.05,0.1,44,10,0.09999999999989499,0.05263157894736842,0.11764705882340486,0.0625,0.0,0.0,0.0,19.0,16.0,1.0,1.0,0.6285204770146093,0.7048162910759707,0.7194620957569461,0.5380116959064327,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.4,0.05,0.1,45,10,0.9142857142851658,0.8421052631578947,0.27272727272701236,0.15789473684210525,0.9374999999994414,0.0,1.0,19.0,19.0,16.0,3.0,0.6228810776953384,0.7339635954928223,0.7356493293749139,0.5730994152046783,0.8749999999994453,0.0,1.0,0.8749999999994453,0.33333333333272225,1.0,0.8749999999994453,0.0,1.0,0.8749999999994453,0.0,1.0,0.8749999999994453,0.0,1.0,0.8749999999994453,0.0,1.0
20,0.4,0.05,0.1,46,10,0.9743589743584248,0.95,0.33333333333301846,0.2,0.99999999999945,0.33333333333272225,1.0,19.0,15.0,20.0,3.0,0.6152764255569533,0.7308551295290739,0.7317220491303777,0.49122807017543857,0.99999999999945,0.0,1.0,0.99999999999945,0.0,1.0,0.99999999999945,0.0,1.0,0.99999999999945,0.0,1.0,0.99999999999945,0.0,1.0,0.99999999999945,0.0,1.0
20,0.4,0.05,0.1,47,10,0.10526315789462604,0.05555555555555555,0.24999999999971875,0.14285714285714285,0.9999999999984999,0.9999999999984999,1.0,18.0,7.0,1.0,1.0,0.5865025913845532,0.6678864776334409,0.70242307565256,0.5614035087719298,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0
20,0.4,0.05,0.1,48,10,0.09999999999989499,0.05263157894736842,0.10526315789462604,0.05555555555555555,0.0,0.0,0.0,19.0,18.0,1.0,1.0,0.6222407748371068,0.7004016085567951,0.755120206846188,0.49122807017543857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.4,0.05,0.1,49,10,0.09523809523799547,0.05,0.11111111111099384,0.058823529411764705,0.9999999999984999,0.9999999999984999,1.0,20.0,17.0,1.0,1.0,0.6110384803824861,0.7015119635048667,0.7249526459369479,0.5672514619883041,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0
20,0.4,0.05,0.1,50,10,0.9473684210520831,0.9,0.6086956521734366,0.4375,0.99999999999945,0.42857142857086733,1.0,18.0,16.0,20.0,7.0,0.6095262412139059,0.7051233790159627,0.7093889682337181,0.5730994152046783,0.99999999999945,0.7142857142851122,1.0,0.99999999999945,0.5714285714279898,1.0,0.99999999999945,0.7142857142851122,1.0,0.99999999999945,0.7142857142851122,1.0,0.99999999999945,0.7142857142851122,1.0,0.99999999999945,0.7142857142851122,1.0
20,0.4,0.05,0.1,51,10,0.09999999999989499,0.05263157894736842,0.15384615384598815,0.08333333333333333,0.0,0.0,0.0,19.0,12.0,1.0,1.0,0.6141782017692753,0.701041786805715,0.6772275005205667,0.5730994152046783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.6,0.05,0.1,42,10,0.09523809523799547,0.05,0.11764705882340486,0.0625,0.0,0.0,0.0,20.0,16.0,1.0,1.0,0.6220073921276643,0.7428841275748478,0.7324520656919987,0.543859649122807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.6,0.05,0.1,43,10,0.10526315789462604,0.05555555555555555,0.11111111111099384,0.058823529411764705,0.0,0.0,0.0,18.0,17.0,1.0,1.0,0.6211761810476838,0.7159196352182204,0.7467553620765389,0.52046783625731,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0
20,0.6,0.05,0.1,44,10,0.09999999999989499,0.05263157894736842,0.11764705882340486,0.0625,0.0,0.0,0.0,19.0,16.0,1.0,1.0,0.6234315309878145,0.7141361130377599,0.7192973537863806,0.543859649122807,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
