n,seed,agent,tc_prob,tc_label,uc_prob,uc_label
30,42,6,0.7943329215049744,0.0,0.806516170501709,0.0
30,42,7,0.7686461806297302,0.0,0.8247588872909546,0.0
30,42,8,0.7930300831794739,0.0,0.7474443316459656,0.0
30,42,9,0.64840167760849,0.0,0.4989481568336487,0.0
30,42,10,0.7803484797477722,0.0,0.7961944937705994,0.0
30,42,11,0.7752615809440613,0.0,0.8916426301002502,0.0
30,42,12,0.7689447402954102,0.0,0.8687726259231567,0.0
30,42,13,0.7917241454124451,0.0,0.8938511610031128,0.0
30,42,14,0.7571209669113159,0.0,0.6159437298774719,0.0
30,42,15,0.7917112112045288,0.0,0.8049880266189575,0.0
30,42,16,0.7978225350379944,0.0,0.871823787689209,0.0
30,42,17,0.7912930250167847,0.0,0.8372682332992554,0.0
30,42,18,0.8061186671257019,0.0,0.8696581125259399,0.0
30,42,19,0.7620280385017395,0.0,0.6947285532951355,0.0
30,42,20,0.7995203733444214,0.0,0.8529304265975952,0.0
30,42,21,0.7192544341087341,0.0,0.7152370810508728,0.0
30,42,22,0.8098760843276978,1.0,0.9209784865379333,1.0
30,42,23,0.7812557816505432,0.0,0.8491657376289368,0.0
30,42,24,0.7769542336463928,0.0,0.8260699510574341,0.0
30,42,25,0.7423922419548035,0.0,0.50642991065979,0.0
30,42,26,0.7942830324172974,0.0,0.8292136192321777,0.0
30,42,27,0.78533536195755,0.0,0.8308404684066772,0.0
30,42,28,0.8051254153251648,0.0,0.8613842129707336,0.0
30,42,29,0.8007600903511047,0.0,0.6385782361030579,0.0
30,43,0,0.7506922483444214,0.0,0.4333728849887848,0.0
30,43,1,0.7887575030326843,0.0,0.8827378153800964,0.0
30,43,2,0.7786718606948853,0.0,0.4900839328765869,0.0
30,43,3,0.6254196763038635,0.0,0.5022110939025879,0.0
30,43,4,0.6036956310272217,0.0,0.39928290247917175,0.0
30,43,5,0.8038776516914368,0.0,0.9188278317451477,0.0
30,43,6,0.7838899493217468,0.0,0.8590563535690308,0.0
30,43,7,0.7628035545349121,0.0,0.4849284887313843,0.0
30,43,8,0.7685885429382324,0.0,0.664036214351654,0.0
30,43,9,0.7843528389930725,0.0,0.9152419567108154,0.0
30,43,10,0.7829292416572571,0.0,0.9111254215240479,0.0
30,43,11,0.7898386120796204,0.0,0.8550992012023926,0.0
30,43,12,0.7927049994468689,0.0,0.8362302780151367,0.0
30,43,13,0.7902203798294067,0.0,0.25406450033187866,0.0
30,43,14,0.70213782787323,0.0,0.4621818959712982,0.0
30,43,15,0.7796453237533569,0.0,0.8425116539001465,0.0
30,43,16,0.781156599521637,0.0,0.6174836754798889,0.0
30,43,17,0.7705481648445129,0.0,0.8253883719444275,0.0
30,43,18,0.7909466624259949,0.0,0.8517293930053711,0.0
30,43,19,0.7708832621574402,0.0,0.7849600911140442,0.0
30,43,20,0.8063914179801941,1.0,0.9193609952926636,1.0
30,43,21,0.7626168131828308,0.0,0.8153030872344971,0.0
30,43,22,0.6074004173278809,0.0,0.4222135841846466,0.0
30,43,23,0.7632074952125549,0.0,0.753787636756897,0.0
30,43,24,0.47353482246398926,0.0,0.24958840012550354,0.0
30,43,25,0.7962034940719604,0.0,0.8984001278877258,0.0
30,43,26,0.7899474501609802,0.0,0.8530431389808655,0.0
30,43,27,0.7907379865646362,0.0,0.8813730478286743,0.0
30,43,28,0.7884261608123779,0.0,0.8754573464393616,0.0
30,43,29,0.7128268480300903,0.0,0.4748893082141876,0.0
30,44,0,0.8080965876579285,1.0,0.8652138113975525,1.0
30,44,1,0.812027633190155,0.0,0.8773695826530457,0.0
30,44,2,0.7677327394485474,0.0,0.7477758526802063,0.0
30,44,3,0.7602064609527588,0.0,0.8373553156852722,0.0
30,44,4,0.8098649978637695,0.0,0.9047638177871704,0.0
30,44,5,0.7893897294998169,0.0,0.6488582491874695,0.0
30,44,6,0.7704336643218994,0.0,0.8267306685447693,0.0
30,44,7,0.6914651393890381,0.0,0.774292528629303,0.0
30,44,8,0.8054469227790833,0.0,0.7966567277908325,0.0
30,44,9,0.7467042803764343,0.0,0.6083548069000244,0.0
30,44,10,0.8029239773750305,0.0,0.9067132472991943,0.0
30,44,11,0.7972972393035889,0.0,0.6894914507865906,0.0
30,44,12,0.761424720287323,0.0,0.8859063386917114,0.0
30,44,13,0.7700905203819275,0.0,0.7403077483177185,0.0
30,44,14,0.79114830493927,0.0,0.8303541541099548,0.0
30,44,15,0.6632137894630432,0.0,0.7240649461746216,0.0
30,44,16,0.7395970821380615,0.0,0.5647719502449036,0.0
30,44,17,0.7625650763511658,0.0,0.64463871717453,0.0
30,44,18,0.7352162599563599,0.0,0.7239987254142761,0.0
30,44,19,0.8051647543907166,0.0,0.8594135642051697,0.0
30,44,20,0.7791935801506042,0.0,0.7226980924606323,0.0
30,44,21,0.751708447933197,0.0,0.6128825545310974,0.0
30,44,22,0.7085367441177368,0.0,0.544097363948822,0.0
30,44,23,0.7800890803337097,0.0,0.5937017798423767,0.0
30,44,24,0.6607502698898315,0.0,0.37707340717315674,0.0
30,44,25,0.8099684119224548,0.0,0.9210389256477356,0.0
30,44,26,0.6370566487312317,0.0,0.5083354115486145,0.0
30,44,27,0.6981453895568848,0.0,0.6398506760597229,0.0
30,44,28,0.8089707493782043,0.0,0.8693902492523193,0.0
30,44,29,0.7537766098976135,0.0,0.7739830613136292,0.0
30,45,0,0.6948555111885071,0.0,0.5265692472457886,0.0
30,45,1,0.8081972002983093,0.0,0.8042522072792053,0.0
30,45,2,0.8086532950401306,0.0,0.8471853137016296,0.0
30,45,3,0.8083858489990234,0.0,0.9122750163078308,0.0
30,45,4,0.7865503430366516,0.0,0.7729069590568542,0.0
30,45,5,0.7950990796089172,0.0,0.8900490999221802,0.0
30,45,6,0.7836431264877319,0.0,0.8844318389892578,0.0
30,45,7,0.8010568022727966,0.0,0.8213585615158081,0.0
30,45,8,0.7689741253852844,0.0,0.7354668974876404,0.0
30,45,9,0.8072549104690552,0.0,0.914326548576355,0.0
30,45,10,0.7708787322044373,0.0,0.8178067207336426,0.0
30,45,11,0.7946273684501648,0.0,0.8014705181121826,0.0
