control,seed,n,core_size,method,topk_f1,topk_jaccard,topk_fpr,topk_fnr,topk_tp,auroc,auprc,brier,ece,score_gap,pred_core_size_topk
transitive_condorcet,1,15,1,hard_uc,0.24,0.24,0.05428571428571428,0.76,0.24,0.8571428571428572,0.2,0.26666666666666666,0.26666666666666666,0.7142857142857143,1.0
transitive_condorcet,1,15,1,winrate,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.27156394675925927,0.42291666666666666,0.340909090909091,1.0
transitive_condorcet,1,15,1,btl,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.27016871267102005,0.4260860319206942,2.589288879359566,1.0
transitive_condorcet,1,15,1,rank_centrality,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.03593129725404406,0.12320970265969479,0.2859770454649317,1.0
transitive_condorcet,1,15,1,hodge,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.29873568048283045,0.44358064503125116,1.8509040305997462,1.0
transitive_condorcet,1,15,1,copeland,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.271301775147929,0.4333333333333333,13.928571428571429,1.0
cyclic_core,1,15,3,ste_posterior_edge_uc,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.10187500000000001,0.25166666666666665,0.6479166666666667,3.0
cyclic_core,1,15,3,ste_plugin_uc,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.04492503097125537,0.19481833736489124,0.337029603812752,3.0
cyclic_core,1,15,3,hard_uc,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0
cyclic_core,1,15,3,winrate,0.6666666666666667,0.5,0.08333333333333334,0.33333333333333337,2.0,0.9444444444444444,0.8333333333333333,0.246639455782313,0.3714285714285715,0.22186147186147182,3.0
cyclic_core,1,15,3,btl,0.6666666666666667,0.5,0.08333333333333334,0.33333333333333337,2.0,0.9166666666666666,0.6388888888888888,0.27519836457501223,0.39742512972671085,1.2762297085757337,3.0
cyclic_core,1,15,3,rank_centrality,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.08894578253194305,0.207059514375669,0.0981354115107885,3.0
cyclic_core,1,15,3,hodge,0.33333333333333337,0.20000000000000004,0.16666666666666669,0.6666666666666667,1.0,0.8333333333333334,0.4777777777777778,0.23658926871362035,0.38391864154144145,1.1291053642844844,3.0
cyclic_core,1,15,3,copeland,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.18664146187775676,0.3449275362318841,12.083333333333332,3.0
random_labels_against_planted_core,1,15,3,ste_posterior_edge_uc,0.33333333333333337,0.20000000000000004,0.16666666666666669,0.6666666666666667,1.0,0.6111111111111112,0.28535353535353536,0.38009259259259254,0.4166666666666667,0.039583333333333304,3.0
random_labels_against_planted_core,1,15,3,ste_plugin_uc,0.0,0.0,0.25,1.0,0.0,0.5833333333333333,0.3,0.370884685339719,0.44057836688535573,0.03963437081240828,3.0
random_labels_against_planted_core,1,15,3,hard_uc,0.21333333333333332,0.128,0.19666666666666666,0.7866666666666666,0.64,0.4583333333333333,0.1878787878787879,0.6666666666666666,0.6666666666666665,-0.08333333333333337,3.0
random_labels_against_planted_core,1,15,3,winrate,0.0,0.0,0.25,1.0,0.0,0.6666666666666666,0.37777777777777777,0.25749999999999995,0.3433333333333334,0.016233766233766267,3.0
random_labels_against_planted_core,1,15,3,btl,0.0,0.0,0.25,1.0,0.0,0.6388888888888888,0.31666666666666665,0.2570341026008041,0.3462718993130051,0.07110438254803471,3.0
random_labels_against_planted_core,1,15,3,rank_centrality,0.0,0.0,0.25,1.0,0.0,0.7222222222222223,0.3595238095238095,0.23368279059573696,0.2611872911940303,0.004618379703932751,3.0
random_labels_against_planted_core,1,15,3,hodge,0.0,0.0,0.25,1.0,0.0,0.6388888888888888,0.31666666666666665,0.2511635303294427,0.33575910683030463,0.07850282768167821,3.0
random_labels_against_planted_core,1,15,3,copeland,0.0,0.0,0.25,1.0,0.0,0.5555555555555556,0.24074074074074073,0.2741617357001973,0.26153846153846155,0.41666666666666663,3.0
